,货号,通用名,剂型,规格,生产厂家,批准文号,单位
1624,68547,益母草颗粒,颗粒剂,每袋装15g*10袋,四川依科制药有限公司,国药准字Z20020121,盒
1625,68548,小儿氨酚黄那敏颗粒,颗粒剂,10袋,葵花药业集团（重庆）有限公司,国药准字H51023314,盒
1626,68549,左炔诺孕酮片,片剂,0.75mg*4片,四川川大华西药业股份有限公司,国药准字H20113212,盒
1627,68550,九味羌活丸,丸剂(水丸),6g*8袋,太极集团四川绵阳制药有限公司,国药准字Z51021804,盒
1628,68551,清凉油,软膏剂,每盒装10g,江苏华神药业有限公司,国药准字Z32020623,盒
1629,68552,风油精,搽剂,每瓶装3ml、,衡阳益泰药业有限公司,国药准字Z43020990,盒
1630,68553,偏瘫复原丸,丸剂(大蜜丸),每丸重9g*10丸,北京同仁堂股份有限公司同仁堂制药厂,国药准字Z11020111,盒
1631,68554,硫糖铝口服混悬液,口服混悬剂,5ml:1g*12包,上海旭东海普药业有限公司,国药准字H10950279,盒
1632,68555,穿心莲片,片剂,每片含穿心莲干浸膏0.105g,吉林省长恒药业有限公司,国药准字Z22025473,盒
1633,68556,保和颗粒,颗粒剂,每袋装4.5克*9袋,兰州和盛堂制药有限公司,国药准字Z62020022,盒
1634,68557,左炔孕酮片（惠婷）,,0.7mg*2片,山东鑫惠药业有限公司,国药准字号H20184036,盒
1635,68558,婴儿止痒祛痱粉,外用,140g/盒,山西立爽药业有限公司,晋临械备20200034号,盒
1636,68559,米妮天然橡胶避孕套(隐形）,外用,12pcs,青岛欧米卡橡胶制品有限公司,鲁械注准20172660635,盒
1637,68560,祛痱止痒,外用,200ml,江西圣人实业有限公司,赣樟械备20200028号,瓶
1638,68561,烧烫伤膏,外用,18g,江西美正实业有限公司,赣卫消证字（2019）第c014号,盒
1639,68562,海氏海诺光面丝滑避孕套,外用,10pcs,海氏海诺乳胶青岛有限公司,鲁械注准20172660342,盒
1640,68563,贡菊,,30g,四川博仁药业有限公司,sc20180136,盒
1641,68564,聚乙二醇4000散,散剂,10g/10袋,马应龙药业集团股份有限公司,国药准字H20080092,盒
1642,68565,胎菊,,35g*1,四川德仁堂中药饮片有限公司,sc10351018500652,盒
1643,68566,风油精,搽剂,"每瓶3ml,每瓶6ml",广东一力集团制药有限公司,国药准字Z44023635,盒
1644,68567,枇杷止咳颗粒,颗粒剂,每袋装3克,芜湖张恒春药业有限公司,国药准字Z20073216,盒
1645,68568,癃闭舒片,片剂,每片重0.31g,遂成药业股份有限公司,国药准字Z20050120,盒
1646,68569,抗病毒口服液,合剂,每支装10ml*10支,山西太行药业股份有限公司,国药准字Z14021194,盒
1647,68570,双氯芬酸钠缓释片(Ⅰ),片剂(缓释),0.1g*12片,上海信谊药厂有限公司,国药准字H20010604,盒
1648,68571,参茸鞭丸,丸剂,每10丸重2.3g*100丸,大连天山药业有限公司,国药准字Z20054852,盒
1649,68572,婴儿紫草油,外用,30ml,江西水滴药业有限公司,赣卫消证字（2018）第c020号,盒
1650,68573,阿莫西林胶囊,胶囊剂,0.5g,国药集团汕头金石制药有限公司,国药准字H20003254,
1651,68574,感冒清热颗粒,颗粒剂,每袋装12克,广东恒诚制药有限公司,国药准字Z44023466,盒
1652,68575,氯霉素滴眼液,滴眼剂,8ml:20mg,石家庄格瑞药业有限公司,国药准字H13020109,盒
1653,68576,半枝莲,,0.5kg每袋,四川仁禾中药饮片有限公司,,g
1654,68577,白花蛇舌草,,0.5kg每袋,四川鑫仁泰药业有限公司,,g
1655,68578,炒山楂,,0.5kg每袋,四川省卓宇制药有限公司,,g
1656,68579,头孢克肟颗粒,,50mg*6袋,宁波大红鹰药业股份有限公司,,盒
1657,68580,固肾生发丸,丸剂(水蜜丸),8袋,吉林省俊宏药业有限公司,国药准字Z22022697,盒
1658,68581,玉屏风口服液,合剂,每支装10ml*10支,湖北东信药业有限公司,国药准字Z42020184,盒
1659,68582,盐酸金霉素眼膏,眼膏剂,0.5%,辰欣药业股份有限公司,国药准字H37021990,支
1660,68583,氧化锌软膏,软膏剂,15%*20g,陕西功达制药有限公司,国药准字H61023016,支
1661,68584,阿莫西林胶囊,胶囊剂,按C16H19N3O5S计算0.25g*20颗,葵花药业集团（衡水）得菲尔有限公司,国药准字H13021077,盒
1662,68585,腹痛水,酊剂,每支装10ml*3支,山东颐和制药有限公司,国药准字Z19993054,盒
1663,68586,医药红外额温计,,1*1,湖南泓高电子科技有限公司,湘械注准20202070605,支
1664,68587,荷叶,,0.5kg每袋,四川鑫仁泰药业有限公司,,g
1665,68588,黄连上清片,片剂,每片重0.25G*60颗,吉林省跨海生化药业制造有限公司,国药准字Z22025474,盒
1666,68589,妥布霉素地塞米松滴眼液,眼用制剂,5ml:妥布霉素15mg、地塞米松5mg,成都青山利康药业有限公司,国药准字H20073655,盒
1667,68590,降脂宁片,片剂,每片重0.52g*27片,长春万德制药有限公司,国药准字Z20080457,盒
1668,68591,安乃近片,片剂,0.5g,重庆迪康长江制药有限公司,国药准字H50020153,瓶
1669,68592,冰硼散,散剂,每瓶装0.6g*10瓶,泉州市灵源药业有限公司,国药准字Z35020416,盒
1670,68593,西瓜霜抑菌喷剂,,30ml,江西正信堂生物科技有限公司,赣卫消证字（2015）第c027号,盒
1671,68594,复方酮康唑乳膏,乳膏剂,10g*1,江苏晨牌邦德药业有限公司,国药准字H20057782,盒
1672,68595,乳果糖口服溶液,口服溶液剂,100ml:66.7g,北京韩美药品有限公司,国药准字H20065730,瓶
1673,68596,医用脱脂棉,,10g*50包,,苏械注准20162640461,包
1674,68597,双氯芬酸钠肠溶片,片剂（肠溶片）,25mg*20管,四川依科制药有限公司,国药准字H51020298,盒
1675,68598,强力枇杷露,糖浆剂,每瓶装100ml*1,贵州百灵企业集团制药股份有限公司,国药准字Z52020125,瓶
1676,68599,悦健莱维生素E软胶囊,,0.25g*160粒,安徽自然堂生物科技有限公司,食健备G202034001397,瓶
1677,68600,小儿碳酸钙D3颗粒,颗粒剂,12袋/盒,昆明源瑞制药有限公司,国药准字号H20203274,盒
1678,68601,乌鸡白凤丸,丸剂(水蜜丸),8袋,广西万通制药有限公司,国药准字Z45021669,盒
1679,68602,维生素A软胶囊,软胶囊剂,5000单位*100粒,青岛双鲸药业有限公司,国药准字H37023082,瓶
1680,68603,益生菌粉,颗粒剂,1.5g*10袋*2盒,广东长兴生物科技有限公司,国食健字G20130221,盒
1681,68604,天然芦荟胶,,30g/支,西安莱茵药业有限公司,陕卫消证字（2019）第E002号,支
1682,68605,回如宝,颗粒剂,3g*12袋*2盒,河南保中保生物技术有限公司,,盒
1683,68606,腰息痛胶囊,胶囊剂,每粒0.3g(含扑热息痛0.1g)*20粒,承德天原药业股份有限公司,国药准字Z20013065,盒
1684,68607,奥美拉唑肠溶胶囊,胶囊剂,20mg*16粒,江苏鹏鹞药业有限公司,国药准字H20059140,盒
1685,68608,盐酸左氧氟沙星胶囊,胶囊剂,0.1g(以C18H20FN3O4计)*20粒,海南海神同洲制药有限公司,国药准字H20103012,盒
1686,68609,甲硝唑凝胶,凝胶剂,10g:75mg/支,湖北康正药业有限公司,国药准字H20055522,支
1687,68610,人参归脾丸,丸剂(大蜜丸),每丸重9g10丸,北京御生堂集团石家庄制药有限公司,国药准字Z13021678,盒
1688,68611,追风透骨丸,丸剂(水蜜丸),每10丸重1g*36g,沈阳红药集团股份有限公司,国药准字Z21021375,盒
1689,68612,云南白药创可贴,贴剂,1.5cm&#215;2.3cm*20张,云南白药集团无锡药业有限公司,国药准字Z20073016,
1690,68613,盐酸左西替利嗪胶囊,胶囊剂,5mg*14,湖南九典制药股份有限公司,国药准字H20060183,盒
1691,68614,咳特灵胶囊,胶囊剂(硬胶囊),*30颗,四川康福来药业集团有限公司,国药准字Z51020821,盒
1692,68615,通脉颗粒,颗粒剂,每袋装10g*10袋,河北万岁药业有限公司,国药准字Z13020135,盒
1693,68616,归龙筋骨宁片,片剂,片芯重0.25g*20片,长春人民药业集团有限公司,国药准字Z20026139,盒
1694,68617,葡萄糖酸钙锌口服溶液,口服溶液剂,10ml,湖北午时药业股份有限公司,国药准字H20059419,盒
1695,68618,番泻叶,,0.5kg每袋,四川鑫仁泰药业有限公司,,g
1696,68619,白芍,,0.5kg每袋,四川省泓圃药业有限公司,,g
1697,68620,医用外科口罩,外用,1*10,鹤壁市利康卫生材料有限公司,豫械注准20172640063,片
1698,68621,风油精,搽剂,每瓶装3ml,广东恒诚制药有限公司,国药准字Z44022475,瓶
1699,68622,前列舒乐胶囊,胶囊剂,每粒装0.3g*30,通化斯威药业股份有限公司,国药准字Z20060158,盒
1700,68623,阿米卡星洗剂,洗剂,0.25%*50ml,成都倍特药业有限公司,国药准字H51023304,瓶
1701,68624,谷维素片,片剂,10mg*100粒,山西云鹏制药有限公司,国药准字H14020763,瓶
1702,68625,鸡眼贴,,6贴装,江西省中屹药业有限公司,Q./jzy021-2018,盒
1703,68626,元胡止痛片,片剂,薄膜衣片每片重0.26g   *100颗,云南郡筹制药有限公司,国药准字Z53020378,瓶
1704,68627,双黄连口服液,合剂,每支装10ml(每1ml相当于饮片1.5g)；每支装20ml(每1ml相当于饮片1.5g),南阳市新生制药有限公司,国药准字Z41022093,盒
1705,68628,复方锌铁钙颗粒,颗粒剂,1*24袋,陕西海天制药有限公司,国药准字H20084205,盒
1706,68629,维生素C咀嚼片,片剂(咀嚼),100mg*60片,内蒙古佳合药业有限公司,国药准字H15021414,盒
1707,68630,肾宝糖浆,糖浆剂,10ml/支*20支,江西南昌制药有限公司,国药准字Z36020604,盒
1708,68631,伊丽笆消,,抑菌液+抑菌膏,福州菊香堂生物科技有限,闽卫消证字（2015）第0004号,盒
1709,68632,金嗓子口咽凝胶薄荷味,,250ml,西安中天生物科技有限公司,陕械备20180062号,瓶
1710,68633,口咽冷敷凝胶绿茶味,,250ml,西安中天生物科技有限公司,陕械备20180062号,瓶
1711,68634,芦荟胶囊,,0.35g*36粒,鑫玺生物科技有限公司,国食健字G20190053,盒
1712,68635,中华多宝牌恬静胶囊,,0.25g*24粒,宁波佳康生物科技有限公司,国食健字G20160309,盒
1713,68636,冰冰医用退热贴,,1*4贴,揭阳市粤源医疗器械有限公司,粤揭械备20140004号,盒
1714,68637,蛾贞胶丸,胶囊剂,每粒装0.5克*84粒,内蒙古佳合药业有限公司,国药准字B20020222,盒
1715,68638,马来酸氯苯那敏片,片剂,4mg*100粒,山西汾河制药有限公司,国药准字H14022393,瓶
1716,68639,复方氢氧化铝片,片剂,*100片,山西云鹏制药有限公司,国药准字H14020777,瓶
1717,68640,固肾生发丸,丸剂(水蜜丸),36粒*4板,吉林省俊宏药业有限公司,国药准字Z22022697,盒
1718,68641,乳宁片,片剂(糖衣),片芯重0.33g,四平市吉特药业有限公司,国药准字Z20055401,盒
1719,68642,红金消结片,片剂(薄膜衣),每片重0.42g12片,深圳市泰康制药有限公司,国药准字Z20080400,盒
1720,68643,苄达赖氨酸滴眼液,眼用制剂,8ml：,安徽省双科药业有限公司,国药准字H20063124,瓶
1721,68644,二甲硅油片,片剂,25毫克*24,河南中杰药业有限公司,国药准字H41023811,盒
1722,68645,蒙脱石散,散剂,3g/袋*10袋,山东宏济堂制药集团股份有限公司,国药准字H20093638,盒
1723,68646,盐酸特比萘芬乳膏,乳膏剂,1%*15g,武汉诺安药业有限公司,国药准字H20113196,支
1724,68647,妇科康乃馨外用,,3g*5支,三明市浦家南洋生物科技有限公司,豫械备20180003号,盒
1725,68648,风湿关节炎片,片剂,24片,吉林省跨海生化药业制造有限公司,国药准字Z22024044,盒
1726,68649,对乙酰氨基酚片,片剂,0.5g,安丘市鲁安药业有限责任公司,国药准字H20093782,盒
1727,68650,硝酸咪康唑乳膏,乳膏剂,2%*25克,唐山集川药业利康制药有限公司,国药准字H13020320,支
1728,68651,盐酸氨溴索口服溶液,口服溶液剂,100ml：0.3g*15支,扬州市三药制药有限公司,国药准字H20000281,盒
1729,68652,喷昔洛韦乳膏,乳膏剂,10g:0.1g*10g,上海朝晖药业有限公司,国药准字H20000168,支
1730,68653,速效救心丸,滴丸剂,每丸重40mg*60丸*3瓶,天津中新药业集团股份有限公司第六中药厂,国药准字Z12020025,盒
1731,68654,抗病毒口服液,合剂,每支10ml*12支,安徽东盛友邦制药有限公司,国药准字Z34020823,盒
1732,68655,溃疡灵胶囊,胶囊剂,每粒装0.25g*24粒,葵花药业集团(吉林)临江有限公司,国药准字Z22022849,盒
1733,68656,蒙脱石散,散剂,每袋含蒙脱石3g,湖南中和制药有限公司,国药准字H20083621,盒
1734,68657,九味羌活丸,丸剂(水丸),6g*10袋,太极集团四川绵阳制药有限公司,国药准字Z51021804,盒
1735,68658,盐酸金霉素眼膏,眼用制剂,0.5%*2.5g,云南植物药业有限公司,国药准字H53020610,盒
1736,68659,大山楂颗粒,颗粒剂,每袋装(1)15g  (2)150g*10袋,广西玉兰制药有限公司,国药准字Z45020455,盒
1737,68660,医用红外温度计,,XCH01A,深圳市小村机器人智能科技有限公司,粤械注准20202070584,198盒
1738,68661,电子体温计,,1支,杭州广发电子科技有限公司,浙械注准20192070364,支
1739,68662,硝酸甘油片,片剂,0.5mg*100片,内蒙古兰太药业有限责任公司,国药准字H15020179,瓶
1740,68663,他达拉非片,,20mg*2片,,,盒
1741,68664,头孢克肟颗粒,颗粒剂,50mg*12袋,成都倍特药业有限公司,国药准字H20040894,盒
1742,68665,胎菊,,30g,成都市锦天康食品厂,sc10351011401018,盒
1743,68666,贡菊,,30g,成都锦天康食品厂出品,sc10351011401018,盒
1744,68667,藏红花足浴粉,,8g*20袋,江西普和药业有限公司,赣卫消证字（2021）第c005号,盒
1745,68668,除臭足浴粉,,8g*20袋,江西普和药业有限公司,赣卫消证字（2021）第c005号,盒
1746,68669,复方板蓝根颗粒,颗粒剂,每袋装15g(相当原生药15g)*20袋,河北万岁药业有限公司,国药准字Z13020138,袋
1747,68670,板蓝根颗粒,颗粒剂,每袋装5g*18袋,广东隆信制药有限公司,国药准字Z44023650,盒
1748,68671,医用退热贴,,4贴,湖北惠真源药械有限公司,鄂鄂州械备20160002号,盒
1749,68672,双氯芬酸钠肠溶片,片剂（肠溶片）,25mg*54颗,四川依科制药有限公司,国药准字H51020298,盒
1750,68673,西瓜霜口腔溃疡,,25ml,西安利君制药有限责任公司,陕杨械备20200009号,盒
1751,68674,泽泻,,0.5kg每袋,四川省泓圃药业有限公司,,g
1752,68675,蛇油防冻护理软膏,,80g,江西冰爽洁芙实业有限公司,赣樟械备20190084号,盒
1753,68676,益母草颗粒,颗粒剂,每袋装15g*14袋,广西圣特药业有限公司,国药准字Z45020484,盒
1754,68677,他达拉非,,20mg*4颗,南京正大天晴制药有限公司,国药准字H20193187,盒
1755,68678,参苓白术散,散剂,每袋装6g*10袋,河北恒祥医药集团扁鹊制药有限公司,国药准字Z13020539,盒
1756,68679,盐酸倍他司汀口服液,口服溶液剂,10ml*15支,黑龙江中桂制药有限公司,国药准字H23020091,盒
1757,68680,盐酸莫西沙星,,0.4g*3片,南京优科制药有限公司,国药准字H20193387,盒
1758,68681,蛹虫草蛋白质粉,,1kg,安徽全康药业有限公司,SC11434122205038,桶
1759,68682,氨基酸蛋白质粉,,1kg,安徽全康药业有限公司,,桶
1760,68683,蓝莓叶黄素,,0.5G*60颗,江西圣人实业有限公司,G20150947,瓶
1761,68684,护肤保湿甘油,,100ml,江西圣人实业有限公司,赣樟械备20200028号,盒
1762,68685,阿胶,胶剂,250g,湖南古汉堂阿胶药业有限公司,国药准字Z43020066,盒
1763,68686,叶酸片,片剂,0.4mg*62,北京麦迪海药业有限责任公司,国药准字H11020317,盒
1764,68687,感冒止咳颗粒,颗粒剂,每袋装10g*10袋,广东康奇力药业股份有限公司,国药准字Z44023568,盒
1765,68688,阿托伐他丁钙片,,20mg*14片,齐鲁制药有限公司,国药准字H20193144,盒
1766,68689,维生素B1片,片剂,10mg,四川依科制药有限公司,国药准字H51020300,盒
1767,68690,血塞通分散片,片剂(分散片),每片重0.3g(含三七总皂苷50mg)*28片,吉林敖东集团大连药业股份有限公司,国药准字Z20090107,盒
1768,68691,医用电子体温计,,1*1支,广州市倍尔康医疗器械有限公司,粤械注准20152070664,支
1769,68692,补中益气丸,丸剂(水丸),6g*10袋,北京御生堂集团石家庄制药有限公司,国药准字Z13021542,盒
1770,68693,联苯苄唑乳膏,乳膏剂,15g:0.15g*15g,江苏晨牌邦德药业有限公司,国药准字H20058392,盒
1771,68694,腋露,,30ml*2瓶,广州白云山敬修堂药业股份有限公司,国妆特字20180219,盒
1772,68695,8秒濞通,,20g,湖北爱士康医药科技有限公司,鄂械注准20200017号,盒
1773,68696,维生素c泡腾片,,4g*20片,安徽全康药业有限公司,sc11434122205038,瓶
1774,68697,马来酸曲美布汀片,片剂,0.1g*20片,山西三裕制药有限公司,国药准字H20010696,盒
1775,68698,红霉素软膏,软膏剂,1%*10g,江西德成制药有限公司,国药准字H36020018,盒
1776,68699,甲硝唑氯己定洗剂,洗剂,300mi,广州花海药业股份有限公司,国药准字H20033527,瓶
1777,68700,妇炎洁,,300ml,江西康美医药保健品有限公司,赣卫消正字（2010）第c003号,瓶
1778,68701,仙鹤草,,0.5kg每袋,四川盛世锦荣药业有限公司,,g
1779,68702,藕节,,0.5kg每袋,四川省泓圃药业有限公司,,g
1780,68703,侧柏叶,,0.5kg每袋,四川省泓圃药业有限公司,,g
1781,68704,麻杏止咳糖浆,糖浆剂,每瓶装100ml,贵州三仁堂药业有限公司,国药准字Z20054107,
1782,68705,普乐安片,片剂,60片,甘肃河西制药有限责任公司,国药准字Z62020421,瓶
1783,68706,肾骨片,片剂,每片重0.5g,吉林吉春制药股份有限公司,国药准字Z20080239,瓶
1784,68707,藿香清胃片,片剂（糖衣、薄膜衣）,36粒,广州市花城制药厂,国药准字Z44020161,盒
1785,68708,断血流胶囊,胶囊剂,0.35*24,吉林敖东集团力源制药股份有限公司,国药准字Z20043768,盒
1786,68709,感冒软胶囊,胶囊剂(软胶囊),0.425*26,吉林省通化博祥药业股份有限公司,国药准字Z20043804,盒
1787,68710,苯磺酸氨氯地平片,片剂,5mg*32,山西华元医药生物技术有限公司,国药准字H20103112,盒
1788,68711,医用外科口罩（儿童）,,1*10个,宇安控股有限公司,豫械注准20202140677,片
1789,68712,狗肾,,2条,四川鑫仁泰药业有限公司,,个
1790,68713,鹿茸片,,100g,四川鑫仁泰药业有限公司,,g
1791,68714,海马,,100g,四川鑫仁泰药业有限公司,,g
1792,68715,夫西地酸钠软膏,,5g(2%),四川海思科制药有限公司,国药准字H20173407,支
1793,68716,玻璃酸钠滴眼液,眼用制剂(滴眼剂),0.1%,齐鲁制药有限公司,国药准字H20103633,盒
1794,68717,金钱草颗粒,颗粒剂,每袋装10g,重庆和平制药有限公司,国药准字Z20027657,盒
1795,68718,复方金银花颗粒,颗粒剂,每袋装10g（相当于生药材3.5g）,哈尔滨合佳制药有限公司,国药准字Z23020105,盒
1796,68719,复方胆通胶囊,胶囊剂,20片,长春人民药业集团有限公司,国药准字Z22025562,盒
1797,68720,麦金利牌益生菌粉,,1.5g*20袋,江苏汉典生物科技有限公司,国食健字G20160147,盒
1798,68721,肾宝胶囊,胶囊剂,每粒装0.5g,江西南昌桑海制药厂,国药准字Z20090387,盒
1799,68722,医用棉签,,小包,南昌市朝阳医疗用品有限公司,赣械注准20182640032,包
1800,68723,南京同仁堂蛋白质粉,,450g,广东威士雅保健品有限公司,国食健注G20060134,盒
1801,68724,藤黄健骨丸,丸剂(浓缩蜜丸),每丸重3.5g,吉林省银河制药有限公司,国药准字Z22025782,盒
1802,68725,布洛芬混悬液,口服混悬剂,5ml:0.1g,翔宇药业股份有限公司,国药准字H20030648,盒
1803,68726,甲硝唑凝胶,凝胶剂,20g:0.15g,江苏知原药业有限公司,国药准字H10980213,支
1804,68727,二硫化硒洗剂,洗剂,2.5%,上海新亚药业高邮有限公司,国药准字H10890059,盒
1805,68728,复方鱼腥草合剂,合剂,(1)10ml;(2)120ml,浙江惠松制药有限公司,国药准字Z20026198,盒
1806,68729,逍遥丸,丸剂(水丸),每袋装6g,山西华康药业股份有限公司,国药准字Z14021331,盒
1807,68730,氨茶碱片,片剂,0.1g,北京中新制药厂,国药准字H13020576,瓶
1808,68731,川贝母,,100g每袋,四川德仁堂中药饮片有限公司,,g
1809,68732,双黄连口服液,合剂,每支装10ml;20ml,黑龙江省林宝药业有限责任公司,国药准字Z23020924,盒
1810,68733,晕车贴,,3*2袋,湖北惠真源药械有限公司,鄂鄂州械备20160006号,盒
1811,68734,小儿腹泻贴,,4贴,湖北惠真源药械有限公司,鄂鄂州械备20160006号,盒
1812,68735,医用退热贴,,3片,青岛海诺生物工程有限公司,鲁青械备20140017号,盒
1813,68736,小儿腹泻贴,,4贴装,湖北惠真源药械有限公司,鄂鄂州械备20210004号,盒
1814,68737,加味逍遥丸,丸剂(水丸),每100丸重6g,承德御室金丹药业有限公司,国药准字Z20064208,盒
1815,68738,普乐安片,片剂,每片重0.64g(含油菜花粉0.5g),云南白药集团股份有限公司,国药准字Z53021593,瓶
1816,68739,头孢克肟片,片剂,0.1g*6,成都倍特药业有限公司,国药准字H20041660,盒
1817,68740,清热解毒口服液,合剂,每支装10mL*10支,湖北太子药业有限公司,国药准字Z42020328,盒
1818,68741,田七痛经胶囊,胶囊剂,每粒装0.4g*30,山西天星制药有限公司,国药准字Z14021862,盒
1819,68742,牛黄解毒片,片剂(糖衣),每片重0.25g,葵花药业集团(襄阳)隆中有限公司,国药准字Z42020642,盒
1820,68743,氨糖软骨素钙片,,100片,汤臣倍健股份有限公司,国食健字G20120048,盒
1821,68744,汤臣倍健蛋白质粉,,450g,汤臣倍健股份有限公司,国食健字G20140134,桶
1822,68745,汤臣倍健蛋白质粉礼盒优惠装,,450g+150g,汤臣倍健股份有限公司,国食健字G20140134,盒
1823,68746,汤臣倍健维生素E软胶囊,,60粒,汤臣倍健股份有限公司,国食健字G201944001932,瓶
1824,68747,汤臣倍健维生素C咀嚼片,,60片,汤臣倍健股份有限公司,国食健字G20110434,瓶
1825,68748,汤臣倍健B族维生素片,,100片,汤臣倍健股份有限公司,国食健字G201744000196,瓶
1826,68749,汤臣倍健鱼油软胶囊,,100粒,汤臣倍健股份有限公司,国食健字G20140593,瓶
1827,68750,叶酸片,片剂,0.4毫克*60,江西制药有限责任公司,国药准字H36020872,盒
1828,68751,肠炎宁片,片剂(薄膜衣),0.42*48,江西天施康弋阳制药有限公司,国药准字Z36020518,盒
1829,68752,阿莫西林胶囊,胶囊剂,0.25g*50颗,哈药集团制药总厂,国药准字H23020932,盒
1830,68753,鲜竹沥,合剂,每支装15ml；30ml；每瓶装100ml,四川省通园制药有限公司,国药准字Z51021431,盒
1831,68754,橘红颗粒,颗粒剂,每袋装11g,广西恒拓集团仁盛制药有限公司,国药准字Z45021543,盒
1832,68755,维C银翘片,片剂,每片含维生素C49.5mg、对乙酰氨基酚105mg、马来酸氯苯那敏1.05mg,广西半宙天龙制药有限公司,国药准字Z45021156,盒
1833,68756,兰索拉唑肠溶片,片剂,15mg*20片,昆明源瑞制药有限公司,国药准字H20103669,盒
1834,68757,医用丁晴橡胶检查手套,,100双,广东汇通乳胶制品集团有限公司,粤湛械备20200008号,付
1835,68758,狗肾,,1*2条,成都仁济宏药业有限公司,,袋
1836,68759,鹿角胶,胶剂,每块重6g*255g,湖北康源药业有限公司,国药准字Z42021903,盒
1837,68760,温脾固肠散,散剂,*6袋,同药集团大同制药有限公司,国药准字Z14020289,盒
1838,68761,咳特灵胶囊,胶囊剂,"每粒含小叶榕干浸膏360mg,马来酸氯苯那敏1.4mg",广东罗浮山国药股份有限公司,国药准字Z44022354,盒
1839,68762,清淋颗粒,颗粒剂,每袋装10g*8袋,黑龙江乌苏里江制药有限公司哈尔滨分公司,国药准字Z23021148,盒
1840,68763,橘红颗粒,颗粒剂,每袋装11克*6袋,山西华康药业股份有限公司,国药准字Z14020111,盒
1841,68764,阿达帕林凝胶,凝胶,1*15克,江苏福邦药业有限公司,国药准字H20113373,盒
1842,68765,咽炎片,片剂,每片重0.25g(糖衣片);每片重0.3g(薄膜衣片),伊春金北药制药有限公司,国药准字Z23020529,盒
1843,68766,氢氯噻嗪片,片剂,25mg*100片,山西云鹏制药有限公司,国药准字H14020796,盒
1844,68767,四季感冒片,片剂(薄膜衣),每片重0.35g(相当于饮片1.418g)*24片,长春人民药业集团有限公司,国药准字Z20083397,盒
1845,68768,大黄蛰虫片,片剂(薄膜衣),每片重0.52g*24粒,江西青春康源制药有限公司,国药准字Z20060179,盒
1846,68769,布洛芬缓释胶囊,胶囊剂,0.3g*15粒,福建太平洋制药有限公司,国药准字H20093691,盒
1847,68770,益生菌粉,,1.5g*10袋,广东长兴科技保健品有限公司,国食健字G20130221,盒
1848,68771,解酒令,,10ml*6支,安徽福来生物医药有限公司,,盒
1849,68772,晕车贴,,6贴装,江西百人实业有限公司,赣宜械备20200021号,盒
1850,68773,七鞭回春乐胶囊,胶囊剂,每粒装0.3g*14粒,通化振霖药业有限责任公司,国药准字Z22023192,盒
1851,68774,决明降脂片,片剂,36片,山西天星制药有限公司,国药准字Z14021855,盒
1852,68775,红霉素软膏,软膏剂,1%*8g,新乡市新辉药业有限公司,国药准字H41021297,支
1853,68776,半夏露颗粒,颗粒剂,每袋装14g;每袋装7g*12袋,云南万裕药业有限公司,国药准字Z53020094,盒
1854,68777,复方黄连素片,片剂(糖衣),每片含盐酸小檗碱17mg*32粒,吉林白山正茂药业股份有限公司,国药准字Z22024274,盒
1855,68778,抗病毒口服液,合剂,每支10ml*10支,安徽东盛友邦制药有限公司,国药准字Z34020823,盒
1856,68779,晕车贴,,4贴,江西樟树市正康医药生物科技有限公司,,盒
1857,68780,晕车贴,,2贴装,四川省乐至贵均卫生材料有限公司,,盒
1858,68781,头孢氨苄甲氧苄啶胶囊,胶囊剂,头孢氨苄0.125g 甲氧苄啶25mg,丹东宏业制药有限公司,国药准字H21024568,盒
1859,68782,氧氟沙星滴耳液,耳用制剂,0.3%,南京天朗制药有限公司,国药准字H20094236,盒
1860,68783,硫酸庆大霉素颗粒,颗粒剂,40mg(4万单位)*12包,华北制药股份有限公司,国药准字H10910041,盒
1861,68784,氯雷他定颗粒,颗粒剂,5mg*6袋,江苏苏中药业集团股份有限公司,国药准字H20041015,盒
1862,68785,糖尿乐片,片剂,每片重0.62g,长春万德制药有限公司,国药准字Z20060438,盒
1863,68786,替米沙坦胶囊,胶囊剂,40mg*20,山东益健药业有限公司,国药准字H20041644,盒
1864,68787,妥布霉素地塞米松滴眼液,眼用制剂,5ml：*1,杭州国光药业有限公司,国药准字H20073641,盒
1865,68788,炎热清片,片剂,每片重0.3g*24片,吉林天药本草堂制药有限公司,国药准字Z20060406,盒
1866,68789,痔速宁片,片剂,每片重0.3g*36,通化吉通药业有限公司,国药准字Z20063211,盒
1867,68790,奥美拉唑肠溶胶囊,胶囊剂,20mg*14颗,山东罗欣药业集团股份有限公司,国药准字H20033444,瓶
1868,68791,枸橼酸西地拉非片,片剂,50ml*2片/盒,吉林金恒制药股份有限公司,,盒
1869,68792,异宾托溴铵吸入气雾剂,,10毫升支,,,支
1870,68793,奥美拉唑肠溶胶囊,胶囊剂,20mg*28粒,珠海润都制药股份有限公司,国药准字H20066724,盒
1871,68794,硝酸益康唑喷雾剂,喷雾剂,1%*50ml*1,广东同德药业有限公司,国药准字H44025251,盒
1872,68795,正红花油,搽剂,每瓶装20ml*1,万源(福州)药业有限公司,国药准字H35021329,盒
1873,68796,强力枇杷露,糖浆剂,每支装10毫升；每瓶装150毫升；每瓶装120毫升,江西川奇药业有限公司,国药准字Z36021512,盒
